year,country_iso3,country_name,event,category,economic_impact
2020,ITA,Italy,COVID-19; first major European outbreak; GDP contracts ~9%,Economy,Pandemic shock
1900,GRC,Greece,Greece is a small agrarian economy after independence from the Ottoman Empire,Economy,Agrarian economy
1912,GRC,Greece,Balkan Wars (1912-1913); territorial expansion in Macedonia and Epirus,War,Territorial expansion
1917,GRC,Greece,Greece enters World War I on the Allied side,War,Military expenditure
1922,GRC,Greece,Asia Minor catastrophe; population exchange with Turkey; 1.2 million refugees,War,Demographic shock
1929,GRC,Greece,Great Depression; default on external debt (1932),Financial,Debt default
1940,GRC,Greece,Italy invades Greece; German occupation from 1941,War,GDP collapse; occupation
1944,GRC,Greece,Liberation; Greek Civil War follows (1946-1949),War,Civil war
1947,GRC,Greece,Truman Doctrine; US aid against communist insurgency,Geopolitical,Western alignment
1952,GRC,Greece,Greece joins NATO,Geopolitical,Western integration
1967,GRC,Greece,Military junta (Colonels regime) until 1974,Political,Authoritarian rule
1974,GRC,Greece,Fall of the junta after Cyprus crisis; return to democracy,Political,Regime change
1981,GRC,Greece,Greece joins the EEC (1 January),Integration,European integration
1999,GRC,Greece,Greece meets Euro convergence criteria later; joins Eurozone in 2001,Integration,Monetary union path
2001,GRC,Greece,Greece adopts the Euro (1 January),Integration,Monetary union
2004,GRC,Greece,Athens Olympic Games; large public infrastructure investment,Infrastructure,Event investment
2010,GRC,Greece,Sovereign debt crisis; first Troika bailout,Financial,Bailout
2015,GRC,Greece,Third bailout after referendum; capital controls; deep recession,Financial,Crisis peak
2018,GRC,Greece,Greece exits the bailout programmes,Financial,Recovery begins
2020,GRC,Greece,COVID-19; tourism collapse; GDP contracts sharply,Economy,Pandemic shock
1900,ROU,Romania,Kingdom of Romania; largely agrarian with oil industry around Ploiești,Economy,Agrarian with oil
1916,ROU,Romania,Romania enters World War I; occupation of much of the country,War,GDP collapse
1918,ROU,Romania,Greater Romania formed; Transylvania Bessarabia and Bukovina united,Political,Territorial expansion
1929,ROU,Romania,Great Depression; agrarian crisis and political instability,Economy,GDP decline
1940,ROU,Romania,Territorial losses to USSR Hungary and Bulgaria; Ion Antonescu regime,Political,Territorial loss
1941,ROU,Romania,Romania joins Axis invasion of the Soviet Union,War,War economy
1944,ROU,Romania,Royal coup; Romania switches to the Allies; Soviet occupation follows,War,Occupation
1947,ROU,Romania,Monarchy abolished; Romanian People's Republic; communist planned economy,Political,Communist regime begins
1965,ROU,Romania,Ceaușescu becomes leader; industrialization and later megalomaniac projects,Political,Planned industrialization
1977,ROU,Romania,Vrancea earthquake devastates Bucharest; large reconstruction costs,Infrastructure,Natural disaster
1980,ROU,Romania,Austerity to repay foreign debt; severe shortages of food and energy,Economy,Austerity
1989,ROU,Romania,Romanian Revolution (December); Ceaușescu executed; end of communist rule,Political,Democratic transition
1990,ROU,Romania,Market transition begins; inflation and industrial collapse,Economy,Transition shock
1999,ROU,Romania,NATO Membership Action Plan; delayed recovery after 1990s crisis,Geopolitical,Western path
2004,ROU,Romania,Romania joins NATO,Geopolitical,Western integration
2007,ROU,Romania,Romania joins the European Union (1 January),Integration,EU membership
2008,ROU,Romania,Global financial crisis; IMF stand-by arrangement in 2009,Financial,Recession
2020,ROU,Romania,COVID-19; GDP contracts; later recovery led by consumption and EU funds,Economy,Pandemic shock
1900,LVA,Latvia,Latvia is part of the Russian Empire; Riga is a major Baltic industrial port,Political,Colonial status
1918,LVA,Latvia,Declaration of independence (18 November),Political,State creation
1920,LVA,Latvia,Latvian War of Independence ends; Soviet Russia recognizes Latvia,Political,Sovereignty confirmed
1922,LVA,Latvia,Agrarian reform; democratic constitution adopted,Political,Social transformation
1934,LVA,Latvia,Ulmanis authoritarian coup; parliamentary democracy suspended,Political,Authoritarian rule
1939,LVA,Latvia,Molotov-Ribbentrop Pact; Latvia assigned to Soviet sphere,Geopolitical,Fate sealed
1940,LVA,Latvia,Soviet occupation; forced incorporation into the USSR,Political,Loss of sovereignty
1941,LVA,Latvia,German occupation (1941-1944),War,Occupation
1944,LVA,Latvia,Soviet re-occupation; Latvian SSR; mass deportations,Political,Soviet rule restored
1949,LVA,Latvia,March deportations; forced collectivization of agriculture,Political,Repression
1988,LVA,Latvia,Popular Front of Latvia founded; national awakening,Political,National movement
1989,LVA,Latvia,Baltic Way human chain; sovereignty declaration process,Political,Symbolic protest
1991,LVA,Latvia,Restoration of independence (21 August) during the Soviet coup,Political,State restored
1992,LVA,Latvia,Latvian rublis then lats currency reform; rapid liberalization,Economy,Currency reform
1995,LVA,Latvia,Banking crisis; collapse of Banka Baltija,Financial,Banking crisis
2004,LVA,Latvia,Latvia joins the European Union (1 May) and NATO,Integration,EU and NATO membership
2008,LVA,Latvia,Severe financial crisis; GDP falls about 18%; internal devaluation,Financial,Severe recession
2014,LVA,Latvia,Latvia adopts the Euro (1 January),Integration,Monetary union
2020,LVA,Latvia,COVID-19; GDP contracts then rebounds,Economy,Pandemic shock
1900,LTU,Lithuania,Lithuania is part of the Russian Empire; largely agrarian society,Political,Colonial status
1918,LTU,Lithuania,Act of Independence (16 February),Political,State creation
1920,LTU,Lithuania,Soviet Russia recognizes Lithuania; Vilnius dispute with Poland,Political,Sovereignty confirmed
1926,LTU,Lithuania,Smetona authoritarian coup after a brief democratic period,Political,Authoritarian rule
1939,LTU,Lithuania,Molotov-Ribbentrop Pact; Lithuania assigned to Soviet sphere,Geopolitical,Fate sealed
1940,LTU,Lithuania,Soviet occupation; forced incorporation into the USSR,Political,Loss of sovereignty
1941,LTU,Lithuania,German occupation (1941-1944); Holocaust destroys Jewish community,War,Occupation
1944,LTU,Lithuania,Soviet re-occupation; Lithuanian SSR; partisan war continues into the 1950s,Political,Soviet rule restored
1948,LTU,Lithuania,Mass deportations and collectivization,Political,Repression
1988,LTU,Lithuania,Sąjūdis reform movement founded; national revival,Political,National movement
1990,LTU,Lithuania,Act of the Re-Establishment of the State (11 March); first Soviet republic to declare independence,Political,Independence path
1991,LTU,Lithuania,January Events in Vilnius; independence recognized after the Soviet coup,Political,State restored
1993,LTU,Lithuania,Litas reintroduced; last Russian troops leave,Economy,Currency reform
2004,LTU,Lithuania,Lithuania joins the European Union (1 May) and NATO,Integration,EU and NATO membership
2008,LTU,Lithuania,Global financial crisis; deep recession and emigration wave,Financial,Severe recession
2015,LTU,Lithuania,Lithuania adopts the Euro (1 January),Integration,Monetary union
2020,LTU,Lithuania,COVID-19; relatively mild GDP contraction,Economy,Pandemic shock
1900,IRL,Ireland,Ireland is part of the United Kingdom; largely agrarian with emigration after the Famine,Political,Colonial status
1916,IRL,Ireland,Easter Rising in Dublin; republican rebellion against British rule,Political,Independence path
1919,IRL,Ireland,War of Independence begins; guerrilla conflict with British forces,War,Political violence
1921,IRL,Ireland,Anglo-Irish Treaty; Irish Free State created (1922); partition of Northern Ireland,Political,State creation
1922,IRL,Ireland,Irish Civil War over the Treaty (1922-1923),War,Civil war
1932,IRL,Ireland,De Valera government; economic war with Britain over land annuities,Economy,Trade conflict
1937,IRL,Ireland,New constitution; the state is named Ireland (Éire),Political,Constitutional reform
1949,IRL,Ireland,Republic of Ireland Act; leaves the British Commonwealth,Political,Republic declared
1958,IRL,Ireland,First Programme for Economic Expansion; shift from protectionism toward FDI,Economy,Policy turning point
1973,IRL,Ireland,Ireland joins the EEC (1 January) with the UK and Denmark,Integration,European integration
1979,IRL,Ireland,Ireland joins the European Monetary System; breaks sterling parity,Integration,Monetary autonomy
1990,IRL,Ireland,Celtic Tiger boom begins; strong FDI, IT and pharmaceuticals growth through the 1990s,Economy,High growth
1999,IRL,Ireland,Ireland adopts the Euro; founding Eurozone member,Integration,Monetary union
2008,IRL,Ireland,Banking collapse and property crash; EU-IMF bailout in 2010,Financial,Bailout
2013,IRL,Ireland,Ireland exits the EU-IMF programme,Financial,Recovery begins
2015,IRL,Ireland,GDP jumps after large multinational inversions; GDP becomes a poor welfare measure versus GNI,Economy,Statistical distortion
2020,IRL,Ireland,COVID-19; GDP holds up better than GNI because of multinational output,Economy,Pandemic shock
1900,HUN,Hungary,Kingdom of Hungary inside Austria-Hungary; mixed agrarian and industrial economy,Political,Imperial status
1918,HUN,Hungary,Aster Revolution; end of the dual monarchy after World War I,Political,Regime change
1920,HUN,Hungary,Treaty of Trianon; Hungary loses about two thirds of its territory and population,Political,Territorial loss
1929,HUN,Hungary,Great Depression; agrarian collapse and financial crisis,Economy,GDP decline
1941,HUN,Hungary,Hungary enters World War II as an Axis ally,War,War economy
1944,HUN,Hungary,German occupation; Holocaust of Hungarian Jews; Soviet invasion follows,War,Occupation
1947,HUN,Hungary,Communist takeover completed; planned economy and Comecon integration,Political,Communist regime begins
1956,HUN,Hungary,Hungarian Revolution crushed by Soviet intervention,Political,Repression
1968,HUN,Hungary,New Economic Mechanism; limited market reforms inside the planned economy,Economy,Partial reform
1989,HUN,Hungary,Round-table talks; Republic of Hungary proclaimed (23 October); border opened to the West,Political,Democratic transition
1990,HUN,Hungary,First free elections; market transition and privatization begin,Economy,Transition shock
1999,HUN,Hungary,Hungary joins NATO,Geopolitical,Western integration
2004,HUN,Hungary,Hungary joins the European Union (1 May),Integration,EU membership
2008,HUN,Hungary,Global financial crisis; IMF-EU stand-by arrangement,Financial,Recession
2010,HUN,Hungary,Orbán government; unorthodox economic policy and later EU rule-of-law disputes,Political,Policy shift
2020,HUN,Hungary,COVID-19; GDP contracts then rebounds,Economy,Pandemic shock
1957,EUU,European Union,Treaty of Rome signed (25 March); EEC created by France Germany Italy Belgium Netherlands Luxembourg,Integration,European integration founded
1986,EUU,European Union,Single European Act; creates framework for the single market by 1992,Integration,Market integration
1992,EUU,European Union,Treaty of Maastricht signed; European Union created; path to monetary union set,Integration,EU created
1999,EUU,European Union,Euro launched (1 January); 11 founding members adopt common currency,Integration,Monetary union
2007,EUU,European Union,Treaty of Lisbon signed; new institutional framework for enlarged EU,Integration,Institutional reform
